lat,lon,timestamp,amenity,name,tags
49.260812,-123.125736,2020-03-20T18:22:12.000-07:00,cafe,Starbucks,"{'brand:wikidata': 'Q37158', 'official_name': 'Starbucks Coffee', 'addr:housenumber': '2787', 'brand:wikipedia': 'en:Starbucks', 'opening_hours': 'Mo-Th 05:30-19:30; Fr-Su 05:30-20:00', 'cuisine': 'coffee_shop', 'addr:street': 'Laurel Street', 'takeaway': 'yes', 'brand': 'Starbucks'}"
49.260953,-123.125704,2019-08-02T18:11:20.000-07:00,fast_food,Salad Loop,{'opening_hours': 'Mo-Fr 07:00-17:00; Sa 10:00-14:30'}
49.3734231,-123.2918935,2016-10-10T02:14:29.000-07:00,toilets,,{}
49.2498481,-122.959708,2011-09-06T03:52:10.000-07:00,bbq,,{}
49.3708976,-123.2804478,2015-05-03T00:42:25.000-07:00,place_of_worship,St. Monica's Anglican Church,"{'addr:housenumber': '6404', 'addr:street': 'Wellington Avenue', 'denomination': 'anglican', 'religion': 'christian'}"
49.219983,-122.988481,2010-02-26T02:20:23.000-08:00,post_box,,{'operator': 'Canada Post'}
49.2802556,-122.9288938,2009-03-26T04:52:17.000-07:00,telephone,,{}
49.264041399999996,-123.1534072,2019-08-29T18:50:05.000-07:00,fuel,Shell,"{'brand:wikidata': 'Q154950', 'addr:housenumber': '2103', 'website': 'https://www.shell.ca/', 'brand:wikipedia': 'en:Royal Dutch Shell', 'fuel:octane_91': 'yes', 'fuel:octane_89': 'yes', 'addr:street': 'West Broadway', 'fuel:diesel': 'yes', 'brand': 'Shell', 'fuel:octane_87': 'yes', 'operator': 'Shell'}"
49.3707611,-123.2742072,2015-10-24T19:42:51.000-07:00,toilets,,{'male': 'yes'}
49.3705855,-123.2743869,2015-10-24T19:42:51.000-07:00,vending_machine,,{}
49.3705742,-123.2743627,2015-10-24T19:42:51.000-07:00,vending_machine,,{}
49.3705637,-123.2743775,2015-10-24T19:42:51.000-07:00,vending_machine,,{}
49.3705707,-123.2744003,2015-10-24T19:42:51.000-07:00,vending_machine,,{}
49.1266497,-123.1824699,2020-03-30T09:08:51.000-07:00,restaurant,Best Bite Indian Cuisine,"{'addr:housenumber': '10-3891', 'phone': '+1-604-370-4949', 'cuisine': 'indian', 'addr:street': 'Chatham Street', 'addr:postcode': 'V7E 2Z6', 'addr:city': 'Richmond'}"
49.2760753,-123.1271668,2015-10-26T07:17:38.000-07:00,parking_entrance,Hertz,"{'parking': 'underground', 'access': 'customers'}"
49.4387129,-122.9712811,2015-10-27T17:40:23.000-07:00,toilets,,{}
49.2831924,-123.1090499,2015-12-18T21:41:07.000-08:00,pub,The Cambie,"{'toilets:wheelchair': 'no', 'wheelchair': 'limited', 'addr:housenumber': '300', 'addr:street': 'Cambie Street', 'addr:city': 'Vancouver'}"
49.0822808,-122.0561304,2018-02-12T01:42:34.000-08:00,fuel,Petro-Canada,{'name:en': 'Petrol Canada'}
49.2658642,-123.2426102,2008-08-21T00:26:55.000-07:00,bicycle_parking,,{'created_by': 'Potlatch 0.10b'}
49.2659507,-123.2466297,2011-11-19T08:06:36.000-08:00,pub,Mahony and Sons,{'wheelchair': 'yes'}
49.2745364,-123.1536209,2019-06-11T21:09:49.000-07:00,toilets,,{'opening_hours': 'dawn-dusk'}
49.2692701,-123.0570393,2019-11-04T23:33:49.000-08:00,fuel,Petro-Canada,"{'brand:wikidata': 'Q1208279', 'addr:housenumber': '2398', 'phone': '+1-604-251-1455', 'brand:wikipedia': 'en:Petro-Canada', 'opening_hours': 'Mo-Fr 06:30-23:00; Sa-Su 07:00-23:00', 'addr:street': 'East 1st Avenue', 'addr:postcode': 'V5N 1C3', 'brand': 'Petro-Canada', 'operator': 'Petro-Canada', 'addr:city': 'Vancouver'}"
49.2691285,-123.0561052,2015-09-03T03:39:37.000-07:00,fuel,,{'operator': 'Chevron'}
49.3285566,-123.1571712,2019-12-28T18:04:08.000-08:00,fuel,Esso,"{'brand:wikidata': 'Q867662', 'brand': 'Esso', 'brand:wikipedia': 'en:Esso'}"
49.3279474,-123.1563947,2008-11-10T05:46:54.000-08:00,fuel,Petro Canada,{'created_by': 'Potlatch 0.10f'}
49.3278833,-123.1519451,2008-11-14T05:58:14.000-08:00,fuel,Shell,{'created_by': 'Potlatch 0.10f'}
49.3451932,-123.1497994,2008-11-14T06:03:08.000-08:00,school,Sentinel Secondary School,{'created_by': 'Potlatch 0.10f'}
49.3452212,-123.152503,2008-11-14T06:03:29.000-08:00,school,Chartwell Elementary School,{'created_by': 'Potlatch 0.10f'}
49.3299977,-123.1523829,2019-09-13T13:56:49.000-07:00,school,Hollyburn Elementary School,"{'addr:housenumber': '1329', 'website': 'https://westvancouverschools.ca/hollyburn-elementary/', 'addr:street': 'Duchess Avenue', 'addr:postcode': 'V7T 1H5', 'addr:city': 'West Vancouver'}"
49.3347474,-123.1699181,2016-02-26T08:40:43.000-08:00,school,Pauline Johnson Elementary School,{}
49.252242,-123.0427464,2018-04-23T14:47:38.000-07:00,bench,,{}
49.2811586,-123.0767324,2018-05-16T22:30:01.000-07:00,community_centre,Korean Community Centre,"{'addr:housenumber': '1320', 'addr:street': 'East Hastings Street', 'phone': '+1-604-255-3739', 'addr:postcode': 'V5L 1S3', 'addr:city': 'Vancouver'}"
49.19308,-123.1795956,2018-04-25T01:13:43.000-07:00,post_box,,{'operator': 'Canada Post Corporation'}
49.1935797,-123.1807883,2019-09-14T05:00:22.000-07:00,cafe,Tim Hortons,"{'brand:wikidata': 'Q175106', 'level': '0', 'brand:wikipedia': 'en:Tim Hortons', 'cuisine': 'coffee_shop', 'indoor': 'yes', 'takeaway': 'yes', 'brand': 'Tim Hortons'}"
49.1931085,-123.1795892,2018-04-25T01:13:43.000-07:00,waste_basket,,{'indoor': 'yes'}
49.19313,-123.1796329,2018-04-25T01:13:43.000-07:00,waste_basket,,{}
49.1933876,-123.1801028,2019-09-14T05:00:22.000-07:00,pharmacy,Pharmasave,"{'indoor': 'yes', 'level': '-1', 'healthcare': 'pharmacy'}"
49.1932856,-123.1801496,2019-09-14T05:00:22.000-07:00,dentist,Vancouver Airport Dental Centre,"{'indoor': 'yes', 'level': '-1', 'healthcare': 'dentist'}"
49.1932928,-123.1802849,2019-09-02T22:08:26.000-07:00,doctors,Ultima Medical Clinic,"{'opening_hours': 'Mo-Fr 08:00-17:00; Sa,Su off', 'indoor': 'yes', 'level': '-1', 'healthcare': 'doctor'}"
